Website,Title,Employer,Location,Latitude,Longitude,Country,Skills,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
http://careers.stackoverflow.com/jobs/78490/mobile-ios-developer-f-m-ubimet-gmbh,"Mobile iOS Developer (f/m) at UBIMET GmbH (Wien, Õ___Õ_ë±sterreich)",UBIMET GmbH,Vienna,48.20849,16.37208,Austria,"json,objective-c,core-data,sqlite,xml",json,objective-c,core-data,sqlite,xml,,Data Management,1,4.99,80.77,1,1
http://careers.stackoverflow.com/jobs/92774/junior-software-developer-c-sharp-java-vienna-global-blue,"Junior Software Developer (C#, Java) Vienna at Global Blue (Vienna, Austria)",Global Blue,Vienna,48.20849,16.37208,Austria,"java,c#,.net,mssql",java,c#,.net,mssql,,,Data Quality Management,1,0.24,100,1,1
http://careers.stackoverflow.com/jobs/92780/software-developer-java-vienna-global-blue,"Software Developer (Java) Vienna at Global Blue (Vienna, Austria)",Global Blue,Vienna,48.20849,16.37208,Austria,java,java,,,,,,Data Governance,1,6.41,90,1,1
http://careers.stackoverflow.com/jobs/92783/senior-software-developer-java-global-blue,"Senior Software Developer (Java) at Global Blue (Vienna, Austria)",Global Blue,Vienna,48.20849,16.37208,Austria,java,java,,,,,,Data Analysis,1,3.33,93.33,1,1
http://careers.stackoverflow.com/jobs/92788/software-development-lead-c-sharp-java-vienna-global-blue,"Software Development Lead (C#, Java) Vienna at Global Blue (Vienna, Austria)",Global Blue,Vienna,48.20849,16.37208,Austria,c#,c#,,,,,,Data Engineering,1,29.93,81.82,1,1
http://careers.stackoverflow.com/jobs/92876/ruby-on-rails-developer-b2match,"Ruby on Rails Developer at B2Match (Vienna, Austria)",B2Match,Vienna,48.20849,16.37208,Austria,"javascript,ruby-on-rails,go,ruby,user-interface",javascript,ruby-on-rails,go,ruby,user-interface,,Data Visualization,1,0.71,42.86,1,1
http://careers.stackoverflow.com/jobs/95157/java-scala-developer-m-f-transpaygo-gmbh,"Java Scala Developer (M/F) at Transpaygo GmbH (Wien, Õ___Õ_ë±sterreich)",Transpaygo GmbH,Vienna,48.20849,16.37208,Austria,java,java,,,,,,Artificial Intelligence,1,7.13,61.22,1,1
http://careers.stackoverflow.com/jobs/95938/passionate-java-software-engineer-capgemini,"Passionate Java Software Engineer at Capgemini (Machelen, BelgiÕ___Õš)",Capgemini,Machelen,50.91061,4.44174,Belgium,"java,angularjs,html5,java-ee,spring-mvc",java,angularjs,html5,java-ee,spring-mvc,,Cloud Computing,1,21.14,60.14,1,1
http://careers.stackoverflow.com/jobs/94017/senior-java-back-end-software-engineer-vmware-bulgaria,"Senior Java Back-End Software Engineer at VMware Bulgaria (Sofia, Bulgaria)",VMware Bulgaria,Sofia,42.69751,23.32415,Bulgaria,"java,oop,architecture",java,oop,architecture,,,,Mathematics,1,3.33,53.85,1,1
http://careers.stackoverflow.com/jobs/94028/automation-quality-assurance-engineer-vmware-bulgaria,"Automation Quality Assurance Engineer at VMware Bulgaria (Sofia, Bulgaria)",VMware Bulgaria,Sofia,42.69751,23.32415,Bulgaria,"testing,qa,automated-tests,quality",testing,qa,automated-tests,quality,,,Statistics,1,0.24,50,1,1
http://careers.stackoverflow.com/jobs/96418/big-data-developer-adcash-oÕ____,"Big Data Developer at Adcash OÕ___Õ__ (Sofia, Bulgaria)",Adcash OÕ___Õ__,Sofia,42.69751,23.32415,Bulgaria,"java,python,shell",java,python,shell,,,,Business Intelligence,1,22.57,66.43,1,1
http://careers.stackoverflow.com/jobs/97062/pds-petrotechnical-pds-petrotechnical,"PDS Petrotechnical at PDS Petrotechnical (Sofia, Bulgaria)",PDS Petrotechnical,Sofia,42.69751,23.32415,Bulgaria,"quality,engineer,software,assurance,tester",quality,engineer,software,assurance,tester,,Data Management,1,4.17,11.54,1,1
http://careers.stackoverflow.com/jobs/85180/c-plus-plus-developer-remote-administrator-prague-eset,"C++ Developer (Remote Administrator) Prague, Czech Republic at ESET (Prague, Czech Republic)",ESET,Prague,50.08804,14.42076,Czech Republic,"python,javascript,c++11,perl",python,javascript,c++11,perl,,,Data Governance,1,2.78,6.67,1,1
http://careers.stackoverflow.com/jobs/97267/c-plus-plus-software-engineer-bucharest-or-prague-anritsu,"C++ Software Engineer- Bucharest or Prague at Anritsu (Praha, eskÕ___Õ republika)",Anritsu,Prague,50.08804,14.42076,Czech Republic,"python,c++,linux,stl,design-patterns",python,c++,linux,stl,design-patterns,,Data Engineering,1,15.28,7.14,1,1
http://careers.stackoverflow.com/jobs/81713/senior-frontend-engineer-falcon-social,"Senior Frontend Engineer at Falcon Social (Copenhagen, Denmark)",Falcon Social,Copenhagen,55.67594,12.56553,Denmark,"javascript,angularjs,rest,gruntjs,knockout.js",javascript,angularjs,rest,gruntjs,knockout.js,,Artificial Intelligence,1,4.17,6.12,1,1
http://careers.stackoverflow.com/jobs/81714/senior-backend-engineer-falcon-social,"Senior Backend Engineer at Falcon Social (Copenhagen, Denmark)",Falcon Social,Copenhagen,55.67594,12.56553,Denmark,"java,angularjs,rest,domain-driven-design,refactoring",java,angularjs,rest,domain-driven-design,refactoring,,Cloud Computing,1,34.72,16.89,1,1
http://careers.stackoverflow.com/jobs/84191/javascript-expert-ecommerce-growth-management-frosmo,"JavaScript Expert: eCommerce Growth Management at Frosmo (Helsinki, Finland)",Frosmo,Helsinki,60.16952,24.93545,Finland,"javascript,jquery,html5,php,node.js",javascript,jquery,html5,php,node.js,,Mathematics,1,15.28,42.31,1,1
http://careers.stackoverflow.com/jobs/91490/data-scientist-the-walking-dead-next-games,"Data Scientist (The Walking Dead) at Next Games (Helsinki, Finland)",Next Games,Helsinki,60.16952,24.93545,Finland,"hadoop,python,machine-learning,bigdata,r",hadoop,python,machine-learning,bigdata,r,,Statistics,1,1.39,50,1,1
http://careers.stackoverflow.com/jobs/97436/front-end-developer-solita-oy,"Front-end Developer at Solita Oy (Helsinki, Finland)",Solita Oy,Helsinki,60.16952,24.93545,Finland,"css,javascript,angularjs,html5,episerver",css,javascript,angularjs,html5,episerver,,Business Intelligence,1,22.22,11.19,1,1
http://careers.stackoverflow.com/jobs/84795/data-processing-engineer-criteo,"Data Processing Engineer at Criteo (Paris, France)",Criteo,Paris,48.85341,2.3488,France,"hadoop,java,python,scala,linux",hadoop,java,python,scala,linux,,Data Management,1,2.27,3.85,1,1
http://careers.stackoverflow.com/jobs/91196/frontend-developer-wiremind,"Frontend developer at Wiremind (Paris, France)",Wiremind,Paris,48.85341,2.3488,France,"angularjs,d3.js",angularjs,d3.js,,,,,Data Engineering,1,2.27,0.65,1,1
